起报时间,预报时间,实际功率(MW),XGBoost 预测功率(MW),误差
2019/06/09/00:00,2019/06/09/03:15,8.27397035,7.711148451494715,-0.5628218985052857
2019/06/09/00:00,2019/06/09/03:30,8.27397035,8.430486329932693,0.156515979932692
2019/06/09/00:00,2019/06/09/03:45,8.27397035,7.590428501671951,-0.6835418483280495
2019/06/09/00:00,2019/06/09/04:00,8.27397035,8.427246522633425,0.1532761726334239
2019/06/09/00:00,2019/06/09/04:15,8.27397035,7.303497800852715,-0.970472549147286
2019/06/09/00:00,2019/06/09/04:30,8.27397035,8.771319244169,0.4973488941689989
2019/06/09/00:00,2019/06/09/04:45,8.27397035,8.968613931656048,0.694643581656047
2019/06/09/00:00,2019/06/09/05:00,8.27397035,8.51150211713742,0.237531767137419
2019/06/09/00:00,2019/06/09/05:15,8.27397035,8.125368873489043,-0.148601476510958
2019/06/09/00:00,2019/06/09/05:30,8.27397035,8.031006824527976,-0.2429635254720246
2019/06/09/00:00,2019/06/09/05:45,8.27397035,8.404603343315154,0.1306329933151531
2019/06/09/00:00,2019/06/09/06:00,8.27397035,8.153187727274197,-0.1207826227258035
2019/06/09/00:00,2019/06/09/06:15,8.27397035,8.550927095809959,0.276956745809958
2019/06/09/00:00,2019/06/09/06:30,8.27397035,8.552280933079166,0.2783105830791648
2019/06/09/00:00,2019/06/09/06:45,8.27397035,8.02306185683514,-0.2509084931648608
2019/06/09/00:00,2019/06/09/07:00,8.27397035,8.288568860636618,0.0145985106366168
2019/06/09/00:00,2019/06/09/07:15,8.27397035,7.689291789064129,-0.5846785609358722
2019/06/09/00:00,2019/06/09/07:30,8.021605000000001,7.797764463251671,-0.2238405367483302
2019/06/09/00:00,2019/06/09/07:45,7.444891,7.524464615021597,0.0795736150215971
2019/06/09/00:00,2019/06/09/08:00,6.791903,6.949060261642548,0.1571572616425482
2019/06/09/00:00,2019/06/09/08:15,6.099709,6.392265053372932,0.2925560533729321
2019/06/09/00:00,2019/06/09/08:30,5.382203,5.4210208676455744,0.0388178676455748
2019/06/09/00:00,2019/06/09/08:45,4.649505,5.008326272614741,0.3588212726147404
2019/06/09/00:00,2019/06/09/09:00,3.899808,3.715793934866292,-0.1840140651337085
2019/06/09/00:00,2019/06/09/09:15,3.160054,3.202472531980167,0.0424185319801666
2019/06/09/00:00,2019/06/09/09:30,2.373477,2.6254755346144854,0.2519985346144855
2019/06/09/00:00,2019/06/09/09:45,1.697415,1.7267789894519123,0.0293639894519124
2019/06/09/00:00,2019/06/09/10:00,1.093276,0.9645318983418066,-0.1287441016581932
2019/06/09/00:00,2019/06/09/10:15,0.676204,0.6793029755276804,0.0030989755276803
2019/06/09/00:00,2019/06/09/10:30,0.4554149999999999,0.4499347599359214,-0.0054802400640784
2019/06/09/00:00,2019/06/09/10:45,0.356295,0.4436821253253132,0.0873871253253132
2019/06/09/00:00,2019/06/09/11:00,0.248711,0.0,-0.248711
2019/06/09/00:00,2019/06/09/11:15,0.136042,0.0,-0.136042
2019/06/09/00:00,2019/06/09/11:30,0.014588,0.0,-0.014588
2019/06/09/00:00,2019/06/09/11:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/12:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/12:15,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/12:30,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/12:45,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/13:00,0.0,0.0,0.0
2019/06/09/00:00,2019/06/09/13:15,0.0,0.0,0.0
