起报时间,预报时间,实际功率 (MW),station05 预测功率 (MW)
2023/02/21/00:00,2023/02/23/03:45,0,16.60394081135827
2023/02/21/00:00,2023/02/23/04:00,0,21.758708301551
2023/02/21/00:00,2023/02/23/04:15,0,22.08670214062715
2023/02/21/00:00,2023/02/23/04:30,0,24.89444144011613
2023/02/21/00:00,2023/02/23/04:45,0,26.05842078860593
2023/02/21/00:00,2023/02/23/05:00,0,26.97913607502955
2023/02/21/00:00,2023/02/23/05:15,0,21.626928313244346
2023/02/21/00:00,2023/02/23/05:30,0,15.65480301258625
2023/02/21/00:00,2023/02/23/05:45,0,20.37522660849971
2023/02/21/00:00,2023/02/23/06:00,0,19.5678981151373
2023/02/21/00:00,2023/02/23/06:15,0,21.6672106533565
2023/02/21/00:00,2023/02/23/06:30,0,17.087398353599955
2023/02/21/00:00,2023/02/23/06:45,0,22.32234246924946
2023/02/21/00:00,2023/02/23/07:00,0,4.348823305194384
2023/02/21/00:00,2023/02/23/07:15,0,10.927319914928738
2023/02/21/00:00,2023/02/23/07:30,0,18.71273142758785
2023/02/21/00:00,2023/02/23/07:45,0,10.627470716317488
2023/02/21/00:00,2023/02/23/08:00,0,3.7950986731637673
2023/02/21/00:00,2023/02/23/08:15,0,9.593590429476151
2023/02/21/00:00,2023/02/23/08:30,0,2.460744216453203
2023/02/21/00:00,2023/02/23/08:45,0,10.730354411707715
2023/02/21/00:00,2023/02/23/09:00,0,2.853262747628408
2023/02/21/00:00,2023/02/23/09:15,0,3.850720099251834
2023/02/21/00:00,2023/02/23/09:30,0,5.356901723397531
2023/02/21/00:00,2023/02/23/09:45,0,1.8182935960125968
2023/02/21/00:00,2023/02/23/10:00,0,0.4461880251267093
2023/02/21/00:00,2023/02/23/10:15,0,1.281366757187822
2023/02/21/00:00,2023/02/23/10:30,0,1.442783233623562
2023/02/21/00:00,2023/02/23/10:45,0,0.9625579234005583
2023/02/21/00:00,2023/02/23/11:00,0,0.0
2023/02/21/00:00,2023/02/23/11:15,0,0.0
2023/02/21/00:00,2023/02/23/11:30,0,0.0
2023/02/21/00:00,2023/02/23/11:45,0,0.0
2023/02/21/00:00,2023/02/23/12:00,0,0.0
2023/02/21/00:00,2023/02/23/12:15,0,0.0
2023/02/21/00:00,2023/02/23/12:30,0,0.0
2023/02/21/00:00,2023/02/23/12:45,0,0.0
2023/02/21/00:00,2023/02/23/13:00,0,0.0
2023/02/21/00:00,2023/02/23/13:15,0,0.0
2023/02/21/00:00,2023/02/23/13:30,0,0.0
2023/02/21/00:00,2023/02/23/13:45,0,0.0
2023/02/21/00:00,2023/02/23/14:00,0,0.0
2023/02/21/00:00,2023/02/23/14:15,0,0.0
2023/02/21/00:00,2023/02/23/14:30,0,0.0
2023/02/21/00:00,2023/02/23/14:45,0,0.0
2023/02/21/00:00,2023/02/23/15:00,0,0.0
2023/02/21/00:00,2023/02/23/15:15,0,0.0
2023/02/21/00:00,2023/02/23/15:30,0,0.0
2023/02/21/00:00,2023/02/23/15:45,0,0.0
2023/02/21/00:00,2023/02/23/16:00,0,0.0
2023/02/21/00:00,2023/02/23/16:15,0,0.0
2023/02/21/00:00,2023/02/23/16:30,0,0.0
2023/02/21/00:00,2023/02/23/16:45,0,0.0
2023/02/21/00:00,2023/02/23/17:00,0,0.0
2023/02/21/00:00,2023/02/23/17:15,0,0.0
2023/02/21/00:00,2023/02/23/17:30,0,0.0
2023/02/21/00:00,2023/02/23/17:45,0,0.0
2023/02/21/00:00,2023/02/23/18:00,0,0.0
2023/02/21/00:00,2023/02/23/18:15,0,0.0
2023/02/21/00:00,2023/02/23/18:30,0,0.0
2023/02/21/00:00,2023/02/23/18:45,0,0.0
2023/02/21/00:00,2023/02/23/19:00,0,0.0
2023/02/21/00:00,2023/02/23/19:15,0,0.0
2023/02/21/00:00,2023/02/23/19:30,0,0.0
2023/02/21/00:00,2023/02/23/19:45,0,0.0
2023/02/21/00:00,2023/02/23/20:00,0,0.0
2023/02/21/00:00,2023/02/23/20:15,0,0.0
2023/02/21/00:00,2023/02/23/20:30,0,0.0
2023/02/21/00:00,2023/02/23/20:45,0,0.0
2023/02/21/00:00,2023/02/23/21:00,0,0.0
2023/02/21/00:00,2023/02/23/21:15,0,0.0
2023/02/21/00:00,2023/02/23/21:30,0,0.0
2023/02/21/00:00,2023/02/23/21:45,0,0.0
2023/02/21/00:00,2023/02/23/22:00,0,1.1231036983071945
2023/02/21/00:00,2023/02/23/22:15,0,1.2065488026322717
2023/02/21/00:00,2023/02/23/22:30,0,0.8106015930126902
2023/02/21/00:00,2023/02/23/22:45,0,0.6854221868780812
2023/02/21/00:00,2023/02/23/23:00,0,4.900703727602255
2023/02/21/00:00,2023/02/23/23:15,0,3.974757282760036
2023/02/21/00:00,2023/02/23/23:30,0,3.799453769479368
2023/02/21/00:00,2023/02/23/23:45,0,3.087496063736605
2023/02/21/00:00,2023/02/24/00:00,0,9.93151454070756
2023/02/21/00:00,2023/02/24/00:15,0,3.655666740033137
2023/02/21/00:00,2023/02/24/00:30,0,12.16094714522063
2023/02/21/00:00,2023/02/24/00:45,0,3.835737638965914
2023/02/21/00:00,2023/02/24/01:00,0,17.149352932464865
2023/02/21/00:00,2023/02/24/01:15,0,15.38285759287055
2023/02/21/00:00,2023/02/24/01:30,0,18.638592534122747
2023/02/21/00:00,2023/02/24/01:45,0,14.182099183895032
2023/02/21/00:00,2023/02/24/02:00,0,19.09276284076274
2023/02/21/00:00,2023/02/24/02:15,0,17.91697980303128
2023/02/21/00:00,2023/02/24/02:30,0,21.09790428211138
2023/02/21/00:00,2023/02/24/02:45,0,22.76363837533934
2023/02/21/00:00,2023/02/24/03:00,0,18.584287833972358
2023/02/21/00:00,2023/02/24/03:15,0,26.26656979948134
2023/02/21/00:00,2023/02/24/03:30,0,22.15222778476257
2023/02/21/00:00,2023/02/24/03:45,0,26.31560370306523
2023/02/21/00:00,2023/02/24/04:00,0,26.1815906128182
2023/02/21/00:00,2023/02/24/04:15,0,25.345920125586844
2023/02/21/00:00,2023/02/24/04:30,0,26.04182749547319
2023/02/21/00:00,2023/02/24/04:45,0,17.570265487927106
2023/02/21/00:00,2023/02/24/05:00,0,23.75569482578694
