forecast_time,predicted_power,start_time
2023/2/23 1:00,1.384926942,2023/2/21
2023/2/23 1:15,1.796570375,2023/2/21
2023/2/23 1:30,1.939056936,2023/2/21
2023/2/23 1:45,1.61382164,2023/2/21
2023/2/23 2:00,2.085995493,2023/2/21
2023/2/23 2:15,2.485315102,2023/2/21
2023/2/23 2:30,2.265773107,2023/2/21
2023/2/23 2:45,2.784749228,2023/2/21
2023/2/23 3:00,2.505598975,2023/2/21
2023/2/23 3:15,2.321876541,2023/2/21
2023/2/23 3:30,3.251405747,2023/2/21
2023/2/23 3:45,3.451781829,2023/2/21
2023/2/23 4:00,2.149130276,2023/2/21
2023/2/23 4:15,2.696994666,2023/2/21
2023/2/23 4:30,3.193029924,2023/2/21
2023/2/23 4:45,1.955004221,2023/2/21
2023/2/23 5:00,2.59429807,2023/2/21
2023/2/23 5:15,3.275393061,2023/2/21
2023/2/23 5:30,2.00071422,2023/2/21
2023/2/23 5:45,2.571239921,2023/2/21
2023/2/23 6:00,1.992062726,2023/2/21
2023/2/23 6:15,2.178029763,2023/2/21
2023/2/23 6:30,2.851093703,2023/2/21
2023/2/23 6:45,2.460709171,2023/2/21
2023/2/23 7:00,1.549679985,2023/2/21
2023/2/23 7:15,2.225160881,2023/2/21
2023/2/23 7:30,1.432100156,2023/2/21
2023/2/23 7:45,1.598030349,2023/2/21
2023/2/23 8:00,0.745639615,2023/2/21
2023/2/23 8:15,0.907746394,2023/2/21
2023/2/23 8:30,0.856125477,2023/2/21
2023/2/23 8:45,1.150022638,2023/2/21
2023/2/23 9:00,0.264064128,2023/2/21
2023/2/23 9:15,0.337147581,2023/2/21
2023/2/23 9:30,0.453061664,2023/2/21
2023/2/23 9:45,0.27296925,2023/2/21
2023/2/23 10:00,0.040921764,2023/2/21
2023/2/23 10:15,0.011284389,2023/2/21
2023/2/23 10:30,0,2023/2/21
2023/2/23 10:45,0.001440704,2023/2/21
2023/2/23 11:00,0,2023/2/21
2023/2/23 11:15,0,2023/2/21
2023/2/23 11:30,0,2023/2/21
2023/2/23 11:45,0,2023/2/21
2023/2/23 12:00,0,2023/2/21
2023/2/23 12:15,0,2023/2/21
2023/2/23 12:30,0,2023/2/21
2023/2/23 12:45,0,2023/2/21
2023/2/23 13:00,0,2023/2/21
2023/2/23 13:15,0,2023/2/21
2023/2/23 13:30,0,2023/2/21
2023/2/23 13:45,0,2023/2/21
2023/2/23 14:00,0,2023/2/21
2023/2/23 14:15,0,2023/2/21
2023/2/23 14:30,0,2023/2/21
2023/2/23 14:45,0,2023/2/21
2023/2/23 15:00,0,2023/2/21
2023/2/23 15:15,0,2023/2/21
2023/2/23 15:30,0,2023/2/21
2023/2/23 15:45,0,2023/2/21
2023/2/23 16:00,0,2023/2/21
2023/2/23 16:15,0,2023/2/21
2023/2/23 16:30,0,2023/2/21
2023/2/23 16:45,0,2023/2/21
2023/2/23 17:00,0,2023/2/21
2023/2/23 17:15,0,2023/2/21
2023/2/23 17:30,0,2023/2/21
2023/2/23 17:45,0,2023/2/21
2023/2/23 18:00,0,2023/2/21
2023/2/23 18:15,0,2023/2/21
2023/2/23 18:30,0,2023/2/21
2023/2/23 18:45,0,2023/2/21
2023/2/23 19:00,0,2023/2/21
2023/2/23 19:15,0,2023/2/21
2023/2/23 19:30,0,2023/2/21
2023/2/23 19:45,0,2023/2/21
2023/2/23 20:00,0,2023/2/21
2023/2/23 20:15,0,2023/2/21
2023/2/23 20:30,0,2023/2/21
2023/2/23 20:45,0,2023/2/21
2023/2/23 21:00,0,2023/2/21
2023/2/23 21:15,0,2023/2/21
2023/2/23 21:30,0,2023/2/21
2023/2/23 21:45,0,2023/2/21
2023/2/23 22:00,0.012066843,2023/2/21
2023/2/23 22:15,0.005988644,2023/2/21
2023/2/23 22:30,0.037868371,2023/2/21
2023/2/23 22:45,0,2023/2/21
2023/2/23 23:00,0.349427142,2023/2/21
2023/2/23 23:15,0.464808702,2023/2/21
2023/2/23 23:30,0.513349372,2023/2/21
2023/2/23 23:45,0.389507892,2023/2/21
2023/2/24 0:00,1.007026967,2023/2/21
2023/2/24 0:15,0.910248406,2023/2/21
2023/2/24 0:30,1.127984729,2023/2/21
2023/2/24 0:45,0.802734631,2023/2/21
2023/2/24 1:00,2.068609454,2023/2/21
2023/2/24 1:15,1.437209572,2023/2/21
2023/2/24 1:30,1.663963306,2023/2/21
2023/2/24 1:45,1.214274249,2023/2/21
2023/2/24 2:00,1.829032789,2023/2/21
2023/2/24 2:15,2.353228765,2023/2/21
2023/2/24 2:30,2.52106627,2023/2/21
2023/2/24 2:45,3.025060208,2023/2/21
2023/2/24 3:00,2.959825138,2023/2/21
2023/2/24 3:15,2.013228778,2023/2/21
2023/2/24 3:30,3.05510461,2023/2/21
2023/2/24 3:45,1.948414658,2023/2/21
2023/2/24 4:00,3.40729673,2023/2/21
2023/2/24 4:15,2.396774294,2023/2/21
2023/2/24 4:30,2.608625728,2023/2/21
2023/2/24 4:45,2.428392834,2023/2/21
2023/2/24 5:00,2.764864757,2023/2/21
2023/2/24 5:15,1.860136521,2023/2/21
2023/2/24 5:30,2.281160763,2023/2/21
2023/2/24 5:45,2.087323582,2023/2/21
2023/2/24 6:00,2.297783087,2023/2/21
2023/2/24 6:15,1.843407101,2023/2/21
2023/2/24 6:30,2.841336226,2023/2/21
2023/2/24 6:45,2.538038938,2023/2/21
2023/2/24 7:00,1.733632884,2023/2/21
2023/2/24 7:15,1.891603128,2023/2/21
2023/2/24 7:30,1.539066556,2023/2/21
2023/2/24 7:45,1.894197577,2023/2/21
2023/2/24 8:00,0.824344594,2023/2/21
2023/2/24 8:15,0.869681329,2023/2/21
2023/2/24 8:30,0.928403778,2023/2/21
2023/2/24 8:45,1.108290603,2023/2/21
2023/2/24 9:00,0.214911029,2023/2/21
2023/2/24 9:15,0.22346246,2023/2/21
2023/2/24 9:30,0.301245288,2023/2/21
2023/2/24 9:45,0.401471099,2023/2/21
2023/2/24 10:00,0.070706126,2023/2/21
2023/2/24 10:15,0,2023/2/21
2023/2/24 10:30,0.009909755,2023/2/21
2023/2/24 10:45,0,2023/2/21
2023/2/24 11:00,0,2023/2/21
2023/2/24 11:15,0,2023/2/21
2023/2/24 11:30,0,2023/2/21
2023/2/24 11:45,0,2023/2/21
2023/2/24 12:00,0,2023/2/21
2023/2/24 12:15,0,2023/2/21
2023/2/24 12:30,0,2023/2/21
2023/2/24 12:45,0,2023/2/21
2023/2/24 13:00,0,2023/2/21
2023/2/24 13:15,0,2023/2/21
2023/2/24 13:30,0,2023/2/21
2023/2/24 13:45,0,2023/2/21
2023/2/24 14:00,0,2023/2/21
2023/2/24 14:15,0,2023/2/21
2023/2/24 14:30,0,2023/2/21
2023/2/24 14:45,0,2023/2/21
2023/2/24 15:00,0,2023/2/21
2023/2/24 15:15,0,2023/2/21
2023/2/24 15:30,0,2023/2/21
2023/2/24 15:45,0,2023/2/21
2023/2/24 16:00,0,2023/2/21
2023/2/24 16:15,0,2023/2/21
2023/2/24 16:30,0,2023/2/21
2023/2/24 16:45,0,2023/2/21
2023/2/24 17:00,0,2023/2/21
2023/2/24 17:15,0,2023/2/21
2023/2/24 17:30,0,2023/2/21
2023/2/24 17:45,0,2023/2/21
2023/2/24 18:00,0,2023/2/21
2023/2/24 18:15,0,2023/2/21
